"pid","cond","trial","base","tax","the","unr1","unr2","unr3","sel1","sel2","seltype1","seltype2","rt","tax_sel","the_sel","unr_sel"
4759,"sextet_rand",28,"LAWNMOWER","SCISSORS","GRASS","BOMB","AUNT","INTERNET","LAWNMOWER","GRASS","BASE","THEMATIC",6.42505860732,0,1,0
4759,"sextet_rand",29,"CHISEL","KNIFE","SCULPTURE","HAMSTER","BOTTLE","MIRROR","CHISEL","SCULPTURE","BASE","THEMATIC",6.98297515632,0,1,0
4759,"sextet_rand",30,"COW","PIG","GRASS","CHISEL","PARCEL","HOTEL","COW","PIG","BASE","TAXONOMIC",2.79880630102,1,0,0
4759,"sextet_rand",31,"CAR","BIKE","SEATBELT","SHRIMP","COTTON","BISCUIT","BIKE","CAR","TAXONOMIC","BASE",5.03634696859,1,0,0
4759,"sextet_rand",32,"PACKAGE","CRATE","DELIVERY","TROUT","CHILD","BILL","CRATE","PACKAGE","TAXONOMIC","BASE",6.06310488203,1,0,0
4759,"sextet_rand",33,"PENGUIN","GOOSE","ICE","VOLCANO","HEAD","BRICK","GOOSE","PENGUIN","TAXONOMIC","BASE",6.11242276596,1,0,0
4759,"sextet_rand",34,"TORTILLA","BAGEL","BEANS","COLD","KNOB","SALESMAN","BEANS","TORTILLA","THEMATIC","BASE",8.90100734077,0,1,0
4759,"sextet_rand",35,"BICYCLE","CAR","HELMET","FISH","BEER","BANK","HELMET","BICYCLE","THEMATIC","BASE",6.10552827371,0,1,0
4759,"sextet_rand",36,"CROWN","HAT","KING","SHOVEL","NOSE","TENT","CROWN","KING","BASE","THEMATIC",4.90548172554,0,1,0
4759,"sextet_rand",37,"OVEN","MICROWAVE","PAN","SCREEN","BASKETBALL","BOOT","OVEN","MICROWAVE","BASE","TAXONOMIC",5.55935801931,1,0,0
4759,"sextet_rand",38,"COMPUTER","TABLET","MOUSE","ATHLETE","COUCH","SALON","COMPUTER","MOUSE","BASE","THEMATIC",6.08772740651,0,1,0
4759,"sextet_rand",39,"FIELD","COURT","GRASS","GAS","TOAD","SCHOOL","GRASS","FIELD","THEMATIC","BASE",6.08947974973,0,1,0
4759,"sextet_rand",40,"SUBMARINE","AIRPLANE","OCEAN","SHEET","CROW","DOCTOR","SUBMARINE","OCEAN","BASE","THEMATIC",9.59397482625,0,1,0
4759,"sextet_rand",41,"ROCKET","MISSILE","ASTRONAUT","BUG","CHEESE","WATER","MISSILE","ROCKET","TAXONOMIC","BASE",3.29603211625,1,0,0
4759,"sextet_rand",42,"CRIB","BED","BABY","FERRY","BOWL","PATIO","CRIB","BABY","BASE","THEMATIC",6.16863414894,0,1,0
